Time,,Flow,Stage
0,,35.226,1.261
0.010416667,,35.093,1.258
0.020833333,,35.182,1.26
0.03125,,34.651,1.248
0.041666667,,34.828,1.252
0.052083333,,34.651,1.248
0.0625,,34.563,1.246
0.072916667,,34.298,1.24
0.083333333,,34.166,1.237
0.09375,,33.857,1.23
0.104166667,,33.857,1.23
0.114583333,,33.682,1.226
0.125,,33.769,1.228
0.135416667,,33.506,1.222
0.145833333,,33.55,1.223
0.15625,,33.418,1.22
0.166666667,,33.198,1.215
0.177083333,,33.067,1.212
0.1875,,33.111,1.213
0.197916667,,32.848,1.207
0.208333333,,32.892,1.208
0.21875,,32.498,1.199
0.229166667,,32.454,1.198
0.239583333,,32.279,1.194
0.25,,32.148,1.191
0.260416667,,32.192,1.192
0.270833333,,32.279,1.194
0.28125,,31.974,1.187
0.291666667,,31.843,1.184
0.302083333,,32.018,1.188
0.3125,,31.974,1.187
0.322916667,,31.974,1.187
0.333333333,,31.756,1.182
0.34375,,31.538,1.177
0.354166667,,31.191,1.169
0.364583333,,31.321,1.172
0.375,,31.147,1.168
0.385416667,,31.365,1.173
0.395833333,,31.191,1.169
0.40625,,31.104,1.167
0.416666667,,31.234,1.17
0.427083333,,31.365,1.173
0.4375,,31.538,1.177
0.447916667,,31.234,1.17
0.458333333,,31.495,1.176
0.46875,,31.538,1.177
0.479166667,,32.105,1.19
0.489583333,,32.454,1.198
0.5,,33.067,1.212
0.510416667,,33.55,1.223
0.520833333,,34.122,1.236
0.53125,,34.739,1.25
0.541666667,,35.182,1.26
0.552083333,,35.847,1.275
0.5625,,37.005,1.301
0.572916667,,37.945,1.322
0.583333333,,39.023,1.346
0.59375,,39.926,1.366
0.604166667,,40.787,1.385
0.614583333,,41.104,1.392
0.625,,41.559,1.402
0.635416667,,42.243,1.417
0.645833333,,42.882,1.431
0.65625,,42.928,1.432
0.666666667,,43.34,1.441
0.677083333,,43.845,1.452
0.6875,,44.304,1.462
0.697916667,,45.087,1.479
0.708333333,,45.641,1.491
0.71875,,46.428,1.508
0.729166667,,46.845,1.517
0.739583333,,47.542,1.532
0.75,,47.822,1.538
0.760416667,,48.474,1.552
0.770833333,,49.035,1.564
0.78125,,50.159,1.588
0.791666667,,50.723,1.6
0.802083333,,51.288,1.612
0.8125,,51.948,1.626
0.822916667,,52.704,1.642
0.833333333,,53.415,1.657
0.84375,,54.222,1.674
0.854166667,,54.365,1.677
0.864583333,,54.603,1.682
0.875,,55.031,1.691
0.885416667,,55.222,1.695
0.895833333,,55.222,1.695
0.90625,,55.508,1.701
0.916666667,,55.365,1.698
0.927083333,,55.031,1.691
0.9375,,54.841,1.687
0.947916667,,54.841,1.687
0.958333333,,54.555,1.681
0.96875,,54.65,1.683
0.979166667,,54.412,1.678
0.989583333,,54.412,1.678
1,,54.46,1.679
1.010416667,,54.65,1.683
1.020833333,,54.698,1.684
1.03125,,54.698,1.684
1.041666667,,54.698,1.684
1.052083333,,54.698,1.684
1.0625,,54.079,1.671
1.072916667,,53.937,1.668
1.083333333,,53.794,1.665
1.09375,,53.51,1.659
1.104166667,,53.178,1.652
1.114583333,,52.894,1.646
1.125,,52.846,1.645
1.135416667,,52.515,1.638
1.145833333,,52.231,1.632
1.15625,,51.807,1.623
1.166666667,,51.571,1.618
1.177083333,,51.1,1.608
1.1875,,50.676,1.599
1.197916667,,50.441,1.594
1.208333333,,50.347,1.592
1.21875,,49.925,1.583
1.229166667,,49.456,1.573
1.239583333,,49.222,1.568
1.25,,49.035,1.564
1.260416667,,48.942,1.562
1.270833333,,48.474,1.552
1.28125,,48.381,1.55
1.291666667,,48.148,1.545
1.302083333,,47.822,1.538
1.3125,,47.682,1.535
1.322916667,,47.682,1.535
1.333333333,,47.496,1.531
1.34375,,47.356,1.528
1.354166667,,47.031,1.521
1.364583333,,46.985,1.52
1.375,,46.845,1.517
1.385416667,,46.521,1.51
1.395833333,,46.428,1.508
1.40625,,46.104,1.501
1.416666667,,45.965,1.498
1.427083333,,45.872,1.496
1.4375,,45.549,1.489
1.447916667,,45.41,1.486
1.458333333,,45.133,1.48
1.46875,,45.041,1.478
1.479166667,,44.903,1.475
1.489583333,,44.58,1.468
1.5,,44.442,1.465
1.510416667,,44.304,1.462
1.520833333,,44.212,1.46
1.53125,,43.799,1.451
1.541666667,,43.661,1.448
1.552083333,,43.294,1.44
1.5625,,43.157,1.437
1.572916667,,42.837,1.43
1.583333333,,42.699,1.427
1.59375,,42.654,1.426
1.604166667,,42.517,1.423
1.614583333,,42.243,1.417
1.625,,42.288,1.418
1.635416667,,42.015,1.412
1.645833333,,41.832,1.408
1.65625,,41.741,1.406
1.666666667,,41.923,1.41
1.677083333,,42.06,1.413
1.6875,,42.197,1.416
1.697916667,,42.015,1.412
1.708333333,,41.65,1.404
1.71875,,41.605,1.403
1.729166667,,41.923,1.41
1.739583333,,42.015,1.412
1.75,,42.106,1.414
1.760416667,,42.38,1.42
1.770833333,,42.243,1.417
1.78125,,42.562,1.424
1.791666667,,42.837,1.43
1.802083333,,43.02,1.434
1.8125,,43.34,1.441
1.822916667,,43.524,1.445
1.833333333,,43.937,1.454
1.84375,,43.753,1.45
1.854166667,,43.661,1.448
1.864583333,,43.615,1.447
1.875,,43.569,1.446
1.885416667,,43.432,1.443
1.895833333,,43.065,1.435
1.90625,,42.745,1.428
1.916666667,,42.699,1.427
1.927083333,,42.425,1.421
1.9375,,42.334,1.419
1.947916667,,41.923,1.41
1.958333333,,41.923,1.41
1.96875,,41.696,1.405
1.979166667,,41.878,1.409
1.989583333,,41.741,1.406
2,,41.605,1.403
2.010416667,,41.923,1.41
2.020833333,,42.06,1.413
2.03125,,42.243,1.417
2.041666667,,42.791,1.429
2.052083333,,43.249,1.439
2.0625,,44.074,1.457
2.072916667,,45.272,1.483
2.083333333,,46.845,1.517
2.09375,,48.801,1.559
2.104166667,,51.335,1.613
2.114583333,,54.222,1.674
2.125,,57.23,1.737
2.135416667,,59.588,1.786
2.145833333,,61.962,1.835
2.15625,,64.741,1.892
