Time,Stage,Flow,Entry Number
0,1.045,25.886,0
0.010416667,1.046,25.928,1
0.020833333,1.044,25.844,2
0.03125,1.056,26.35,3
0.041666667,1.044,25.844,4
0.052083333,1.042,25.76,5
0.0625,1.039,25.633,6
0.072916667,1.042,25.76,7
0.083333333,1.042,25.76,8
0.09375,1.027,25.13,9
0.104166667,1.031,25.297,10
0.114583333,1.038,25.591,11
0.125,1.028,25.172,12
0.135416667,1.03,25.255,13
0.145833333,1.024,25.004,14
0.15625,1.032,25.339,15
0.166666667,1.02,24.837,16
0.177083333,1.027,25.13,17
0.1875,1.025,25.046,18
0.197916667,1.028,25.172,19
0.208333333,1.011,24.461,20
0.21875,1.014,24.586,21
0.229166667,1.02,24.837,22
0.239583333,1.011,24.461,23
0.25,1.015,24.628,24
0.260416667,1.021,24.878,25
0.270833333,1.014,24.586,26
0.28125,1.02,24.837,27
0.291666667,1.017,24.711,28
0.302083333,1.02,24.837,29
0.3125,1.021,24.878,30
0.322916667,1.012,24.502,31
0.333333333,1.017,24.711,32
0.34375,1.024,25.004,33
0.354166667,1.021,24.878,34
0.364583333,1.039,25.633,35
0.375,1.039,25.633,36
0.385416667,1.056,26.35,37
0.395833333,1.08,27.367,38
0.40625,1.087,27.664,39
0.416666667,1.107,28.518,40
0.427083333,1.142,30.022,41
0.4375,1.172,31.321,42
0.447916667,1.204,32.716,43
0.458333333,1.243,34.43,44
0.46875,1.278,35.981,45
0.479166667,1.284,36.247,46
0.489583333,1.303,37.095,47
0.5,1.315,37.631,48
0.510416667,1.317,37.721,49
0.520833333,1.312,37.497,50
0.53125,1.323,37.99,51
0.541666667,1.308,37.318,52
0.552083333,1.303,37.095,53
0.5625,1.298,36.871,54
0.572916667,1.288,36.425,55
0.583333333,1.288,36.425,56
0.59375,1.271,35.67,57
0.604166667,1.27,35.625,58
0.614583333,1.257,35.049,59
0.625,1.253,34.872,60
0.635416667,1.243,34.43,61
0.645833333,1.229,33.813,62
0.65625,1.219,33.374,63
0.666666667,1.218,33.33,64
0.677083333,1.203,32.673,65
0.6875,1.205,32.76,66
0.697916667,1.187,31.974,67
0.708333333,1.191,32.148,68
0.71875,1.184,31.843,69
0.729166667,1.173,31.365,70
0.739583333,1.174,31.408,71
0.75,1.169,31.191,72
0.760416667,1.155,30.584,73
0.770833333,1.152,30.454,74
0.78125,1.145,30.152,75
0.791666667,1.159,30.757,76
0.802083333,1.153,30.497,77
0.8125,1.145,30.152,78
0.822916667,1.146,30.195,79
0.833333333,1.131,29.548,80
0.84375,1.132,29.591,81
0.854166667,1.132,29.591,82
0.864583333,1.133,29.634,83
0.875,1.121,29.118,84
0.885416667,1.118,28.989,85
0.895833333,1.128,29.419,86
0.90625,1.128,29.419,87
0.916666667,1.132,29.591,88
0.927083333,1.126,29.333,89
0.9375,1.121,29.118,90
0.947916667,1.121,29.118,91
0.958333333,1.107,28.518,92
0.96875,1.103,28.347,93
0.979166667,1.108,28.561,94
0.989583333,1.107,28.518,95
1,1.096,28.048,96
1.010416667,1.097,28.091,97
1.020833333,1.101,28.262,98
1.03125,1.101,28.262,99
1.041666667,1.093,27.92,100
1.052083333,1.101,28.262,101
1.0625,1.103,28.347,102
1.072916667,1.092,27.877,103
1.083333333,1.081,27.409,104
1.09375,1.075,27.154,105
1.104166667,1.092,27.877,106
1.114583333,1.084,27.537,107
1.125,1.066,26.773,108
1.135416667,1.072,27.027,109
1.145833333,1.073,27.069,110
1.15625,1.075,27.154,111
1.166666667,1.07,26.942,112
1.177083333,1.071,26.985,113
1.1875,1.063,26.646,114
1.197916667,1.067,26.815,115
1.208333333,1.063,26.646,116
1.21875,1.051,26.139,117
1.229166667,1.069,26.9,118
1.239583333,1.07,26.942,119
1.25,1.063,26.646,120
1.260416667,1.065,26.73,121
1.270833333,1.051,26.139,122
1.28125,1.062,26.603,123
1.291666667,1.06,26.519,124
1.302083333,1.041,25.718,125
1.3125,1.045,25.886,126
1.322916667,1.048,26.012,127
1.333333333,1.049,26.054,128
1.34375,1.048,26.012,129
1.354166667,1.054,26.265,130
1.364583333,1.051,26.139,131
